commodity,state,Prophet_MAPE,SARIMA_MAPE,XGBoost_MAPE,best_model,best_avg_MAPE
Rice (imported),Borno,14.73175415463465,39.67,33.84093786244706,Prophet,14.73175415463465
Rice (imported),Yobe,18.088443848384028,55.81,53.74242843527901,Prophet,18.088443848384028
Rice (local),Yobe,18.412885460477607,45.59,53.485701266788034,Prophet,18.412885460477607
Yam,Adamawa,88.22194828400205,144.77,21.71080156823832,XGBoost,21.71080156823832
Rice (imported),Adamawa,25.520257845443485,35.49,37.472255020304765,Prophet,25.520257845443485
Beans (white),Borno,32.63248414842062,25.59,46.34212307396536,SARIMA,25.59
Rice (local),Borno,25.598986984394212,53.97,52.33195145854467,Prophet,25.598986984394212
Yam,Yobe,26.61829669176159,56.53,72.42271177355109,Prophet,26.61829669176159
Beans (white),Yobe,28.463608619217013,36.56,63.33716325867931,Prophet,28.463608619217013
Yam,Borno,30.268163893700024,64.36,64.87443727490364,Prophet,30.268163893700024
Rice (local),Adamawa,42.61176555962353,35.43,30.85753793484467,XGBoost,30.85753793484467
Tomatoes,Borno,31.191538748768963,52.02,57.54011122258739,Prophet,31.191538748768963
Tomatoes,Yobe,34.40714723004196,50.79,57.60586852862185,Prophet,34.40714723004196
