model,commodity,state,RMSE,MAPE,MAE,H1_MAPE,H2_MAPE,H3_MAPE
Prophet,Rice (imported),Adamawa,1388.308181780793,25.520257845443485,987.6117576909791,14.772717970264097,28.57391936359253,33.21413620247383
Prophet,Rice (local),Adamawa,1567.316100111266,42.61176555962353,1211.3068789564004,57.658468955642995,32.98934516155458,37.18748256167299
Prophet,Yam,Adamawa,1896.1764059032796,88.22194828400205,1377.5223255947346,47.780451747845106,69.24289820690136,147.6424948972597
Prophet,Beans (white),Borno,1261.8730019754016,32.63248414842062,932.4107858111709,28.46326755636635,34.72065363601894,34.713531252876585
Prophet,Rice (imported),Borno,885.2655405049926,14.73175415463465,629.307468537257,9.556487460787901,19.57876540374183,15.060009599374219
Prophet,Rice (local),Borno,867.2878925253225,25.598986984394212,784.206720420818,26.384841732542718,22.599851656170635,27.812267564469277
Prophet,Tomatoes,Borno,114.29541270852502,31.191538748768963,74.49163254728984,32.88620895918356,21.810862204946133,38.87754508217719
Prophet,Yam,Borno,1042.9423286465033,30.268163893700024,760.392049295777,31.976984496747264,39.604097659684506,19.223409524668313
Prophet,Beans (white),Yobe,1168.688670189312,28.463608619217013,855.3522434624617,21.969099586791394,24.86190799482415,38.55981827603549
Prophet,Rice (imported),Yobe,847.4912538418865,18.088443848384028,717.2887234137926,15.659693704521096,17.060051165636146,21.545586674994833
Prophet,Rice (local),Yobe,585.4960030891231,18.412885460477607,514.3713084879156,12.620795398881333,21.831019823356105,20.78684115919539
Prophet,Tomatoes,Yobe,90.58065719329879,34.40714723004196,65.2825815830159,22.54675364687113,28.10685485684637,52.56783318640837
Prophet,Yam,Yobe,729.9182896742051,26.61829669176159,611.1606420639653,21.92375155417363,30.711040068690448,27.22009845242069
