model,commodity,state,RMSE,MAPE,MAE,H1_MAPE,H2_MAPE,H3_MAPE,n_test,n_train
Prophet_Tier2,Maize (white),Gombe,83.92314614923414,23.967277433173155,54.78458367160537,20.507883604472553,1.531541041970854,49.862407653076055,7,20
Prophet_Tier2,Maize (white),Kaduna,139.138897025685,68.88691508236919,123.56171142034403,61.419181786628066,59.244781801920375,85.9967816585591,8,24
Prophet_Tier2,Maize (white),Kebbi,115.01207799112252,37.68341858663235,86.23289142185172,37.805568281808355,5.422665244897557,69.82202223319113,7,20
Prophet_Tier2,Maize (white),Oyo,339.7265917051805,97.0497282587798,237.96163788135686,204.77489868284283,44.9895177080246,41.38476838547194,7,20
Prophet_Tier2,Maize (white),Zamfara,369.0739663862123,99.52734800706328,228.15499145053244,239.6763988140182,27.999821751940317,30.905823455231356,8,24
Prophet_Tier2,Maize (yellow),Jigawa,108.8109920429957,37.45766752260019,85.09067565714084,24.45820753919927,20.809918455088024,67.10487657351328,7,20
Prophet_Tier2,Maize (yellow),Kaduna,90.21338159363962,39.37234592501331,73.08284267382163,60.9538057605993,38.96062052413545,18.202611490305184,9,26
Prophet_Tier2,Maize (yellow),Katsina,266.3319469439558,108.61336961446949,211.08723958158131,160.5850223032756,109.63447738561408,55.62060915451883,6,18
Prophet_Tier2,Maize (yellow),Lagos,223.56340228805374,56.61398807302064,184.72029494848599,52.1501512191224,44.992089739680566,72.69972326025895,6,19
Prophet_Tier2,Maize (yellow),Zamfara,294.00197333065495,97.32921264077804,202.3201010328829,184.18311569139684,51.419394210650694,56.385128020286565,6,19
Prophet_Tier2,Rice (imported),Gombe,952.6511318497966,20.768475806879035,492.06229527163583,5.6677645129665155,3.703621744171236,52.93404116349936,7,20
Prophet_Tier2,Rice (imported),Katsina,503.62565331665303,23.080128876393417,436.67603834136327,21.271906826651506,17.75137061943888,30.217109183089853,7,20
Prophet_Tier2,Rice (imported),Kebbi,1351.1608093141676,65.26076168357287,949.4813025329189,52.38984535897189,9.378959500310243,134.01348019143646,7,20
Prophet_Tier2,Rice (local),Gombe,574.7090946392573,32.074197359536576,416.54975176304237,10.564184052416511,56.25052142132421,29.407886604869006,7,20
Prophet_Tier2,Rice (local),Kaduna,2800.659766326933,124.600790429405,1677.3392146590925,247.05237275642884,99.42057809799189,27.329420433794272,8,25
Prophet_Tier2,Rice (local),Kebbi,955.9234627599757,77.61318823543336,912.2013944443787,85.1724152743216,82.56156554604928,65.10558388592919,6,18
Prophet_Tier2,Rice (local),Oyo,752.7155279244053,45.15361239179429,626.6049099769403,20.489700439587015,51.2259417021525,63.745195033643355,7,20
Prophet_Tier2,Rice (local),Zamfara,1017.2095129757147,66.89661610544697,846.6175501331763,61.452932672182605,100.46400849796069,38.772907146197596,7,20
Prophet_Tier2,Yam,Gombe,226.2295887854106,18.392425847533723,204.22185680951782,11.62520313148246,16.715516941250584,26.836557469868126,10,31
Prophet_Tier2,Yam,Kaduna,783.2227695918833,67.06608689280756,632.6665547975837,59.628495611819154,46.48739030149129,95.08237476511222,13,40
Prophet_Tier2,Yam,Kano,713.5307372202616,77.44657410244123,609.0204439261258,58.563378248094786,103.09102780828788,70.68531625094103,7,20
Prophet_Tier2,Yam,Kebbi,4546.049498746826,140.25913406897863,2368.3797664190975,24.037942482378842,347.92101440083906,48.81844532371794,8,26
Prophet_Tier2,Yam,Lagos,345.5038820272619,29.191854105027733,221.59504288379614,28.21350034144054,7.89687987983842,51.46518209380425,9,26
Prophet_Tier2,Yam,Zamfara,760.1316835430848,106.52755452789923,519.4394445214385,69.26932157725602,61.25473895625058,189.05860305019112,9,27
