exchange_rate,date
305.202380952381,2017-01-01
305.777272727273,2018-01-01
306.845454545455,2019-01-01
306.959090909091,2020-01-01
381,2021-01-01
415.96,2022-01-01
460.992857142857,2023-01-01
944.083604545454,2024-01-01
305.3125,2017-02-01
305.895,2018-02-01
306.768181818182,2019-02-01
306.955,2020-02-01
381,2021-02-01
416.95,2022-02-01
460.835,2023-02-01
1505.30276190476,2024-02-01
306.402173913043,2017-03-01
305.742857142857,2018-03-01
306.923809523809,2019-03-01
326.625,2020-03-01
381,2021-03-01
415.721739130435,2022-03-01
460.97347826087,2023-03-01
1511.34305,2024-03-01
306.052777777778,2017-04-01
305.61,2018-04-01
306.9625,2019-04-01
361,2020-04-01
381,2021-04-01
415.526315789474,2022-04-01
460.95625,2023-04-01
1237.05772222222,2024-04-01
305.538095238095,2017-05-01
305.82619047619,2018-05-01
306.95,2019-05-01
361,2020-05-01
400.126666666667,2021-05-01
415.95,2022-05-01
462.009523809524,2023-05-01
1436.06768181818,2024-05-01
305.715,2017-06-01
305.871052631579,2018-06-01
306.947058823529,2019-06-01
361,2020-06-01
410.119047619048,2021-06-01
415.638095238095,2022-06-01
610.707222222222,2023-06-01
1482.26623529412,2024-06-01
305.861904761905,2017-07-01
305.814285714286,2018-07-01
306.936956521739,2019-07-01
377.190476190476,2020-07-01
410.121,2021-07-01
417.260526315789,2022-07-01
770.316571428571,2023-07-01
1560.22465217391,2024-07-01
305.667391304348,2017-08-01
306.057142857143,2018-08-01
306.9325,2019-08-01
381,2020-08-01
410.385454545455,2021-08-01
426.060869565217,2022-08-01
762.120086956522,2023-08-01
1587.39436363636,2024-08-01
305.886842105263,2017-09-01
306.2725,2018-09-01
306.919047619048,2019-09-01
381,2020-09-01
410.795454545455,2021-09-01
435.570454545455,2022-09-01
762.01855,2023-09-01
1618.21775,2024-09-01
305.623809523809,2017-10-01
306.505,2018-10-01
306.963636363636,2019-10-01
381,2020-10-01
411.247368421053,2021-10-01
440.846842105263,2022-10-01
796.937571428571,2023-10-01
1641.11886363636,2024-10-01
305.904545454545,2017-11-01
306.711904761905,2018-11-01
306.9475,2019-11-01
381,2020-11-01
411.738636363636,2021-11-01
445.581363636364,2022-11-01
835.396545454545,2023-11-01
1670.77642857143,2024-11-01
306.313888888889,2017-12-01
306.921052631579,2018-12-01
306.95,2019-12-01
381,2020-12-01
414.335714285714,2021-12-01
450.7075,2022-12-01
899.065157894737,2023-12-01
1553.729255,2024-12-01
