date,inflation_rate
2017-01-01,23.746418195196114
2017-02-01,24.21874753225409
2017-03-01,24.753595632724718
2017-04-01,25.258312437777843
2017-05-01,25.89868834704662
2017-06-01,26.41529914578551
2017-07-01,26.81634591620377
2017-08-01,27.123247107798495
2017-09-01,27.358187799313903
2017-10-01,27.589403711617138
2017-11-01,27.83237432580729
2017-12-01,27.994536682310947
2018-01-01,28.239023065915806
2018-02-01,28.478240701254766
2018-03-01,28.73387515514404
2018-04-01,28.99632194058707
2018-05-01,29.381495094635017
2018-06-01,29.84308147668351
2018-07-01,30.262242308784796
2018-08-01,30.692214415151124
2018-09-01,30.99926818896765
2018-10-01,31.252573212870313
2018-11-01,31.534448987877933
2018-12-01,31.790232638755878
2019-01-01,32.052769945177914
2019-02-01,32.31516990413986
2019-03-01,32.59888232109586
2019-04-01,32.96924854970434
2019-05-01,33.43442122506946
2019-06-01,33.88935285389799
2019-07-01,34.314817182907866
2019-08-01,34.734527002225306
2019-09-01,35.18630444433154
2019-10-01,35.655395771336515
2019-11-01,36.101265238658684
2019-12-01,36.45282994901772
2020-01-01,36.812397630132914
2020-02-01,37.13155858239642
2020-03-01,37.481102840215385
2020-04-01,37.9233521464319
2020-05-01,38.46147827781915
2020-06-01,39.03218549590661
2020-07-01,39.62735749167914
2020-08-01,40.29077058769372
2020-09-01,41.04844910280459
2020-10-01,41.85171580887585
2020-11-01,42.70714863016171
2020-12-01,43.583902425708985
2021-01-01,44.38346071661714
2021-02-01,45.22095528386746
2021-03-01,46.08224824651265
2021-04-01,46.539011778782914
2021-05-01,47.02966679648189
2021-06-01,47.552425478674444
2021-07-01,47.961686362282876
2021-08-01,48.47093570933322
2021-09-01,49.080033489473074
2021-10-01,49.52636692676681
2021-11-01,50.056408337096244
2021-12-01,51.1545682688473
2022-01-01,51.98456582677321
2022-02-01,52.958317099479004
2022-03-03,54.009845299781745
2022-04-03,55.088657493351896
2022-05-03,56.19860475604872
2022-06-03,57.34963687058611
2022-07-03,58.521322369662954
2022-08-03,59.67781591027701
2022-09-03,60.533361786958956
2022-10-03,61.27575164893462
2022-11-03,62.13274253470877
2022-12-03,63.30567891626104
2023-01-03,64.62497365041287
2023-02-23,65.8549782963261
2023-03-23,67.21581223685946
2023-04-23,68.6467875380718
2023-05-23,70.1497498508845
2023-06-23,71.83104130004189
2023-07-23,74.31190727424226
2023-08-23,77.1858134891157
2023-09-23,79.07923102336737
2023-10-23,80.59122708857258
2023-11-23,82.5401543110955
2023-12-23,84.78748797280393
2024-01-03,87.51079473136222
2024-02-23,90.82715092191279
2024-03-23,94.11192824838221
2024-04-23,96.46941353588059
2024-05-23,98.67367371799044
2024-06-23,101.18913950726785
2024-07-24,103.69056231173458
2024-08-24,106.14797977074875
2024-09-24,108.94851783004901
2024-10-24,112.14890847188701
2024-11-24,115.4944429799806
2024-12-24,100.0
